1940,Air Mail Special,Swing,Christian| C.| Goodman| B.| & Mundy| J.; REC: Benny Goodman; Ella Fitzgerald; Charlie Christian; Lionel Hampton; Fats Navarro
1964,Al Capone,Reggae,Prince Buster; REC: Prince Buster
1972,Alabama,Rock/Pop,Young| Neil; REC: Neil Young
1915,Alabama Jubilee,Musical/Film,Yellen| J.| & Cobb| G.; REC: Arthur Collins & Byron Harlan; Leon Redbone
1928,Alabama Song (Whisky Bar),Musical/Film,Weill| K.| & Brecht| B.; REC: Lotte Lenya; The Doors
1925,Alabamy Bound,Musical/Film,Henderson| R.| De Sylva| B. G.| & Green| B.; REC: Al Jolson
1971,Albert Flasher,Rock/Pop,Cummings| Burton; REC: The Guess Who
1983,Alberta's Child,Country/Bluegrass,Tyson| Ian; REC: Ian Tyson
1911,Alexander's Ragtime Band,Jazz,Berlin| Irving; REC: Arthur Collins| Byron Harlan| & Billy Murray; Bessie Smith
1966,Alfie,Musical/Film,Bacharach| B.| & David| H.; REC: Dionne Warwick; Sarah Vaughan; Carmen McRae; Charlie Byrd; Stevie Wonder
1919,Alice Blue Gown,Musical/Film,Tierney| H. A.| & McCarthy| J.; REC: Glenn MIller; Chet Atkins
1967,Alice's Restaurant Massacree,Folk/Roots,Guthrie| Arlo; REC: Arlo Guthrie
1974,Alifib/Alfie,Rock/Pop,Wyatt| Robert; REC: Robert Wyatt
1977,Alison,Rock/Pop,Costello| Elvis; REC: Elvis Costello
1991,Alive,Rock/Pop,Vedder| E.| & Gossard| S.; REC: Pearl Jam
1924,All Alone,Musical/Film,Berlin| Irving; REC: Al Jolson
1968,All Along The Watchtower,Rock/Pop,Dylan| Bob; REC: Bob Dylan; Jimi Hendrix
1993,All Apologies,Rock/Pop,Cobain| Kurt; REC: Nirvana
1977,All Around The World,Rock/Pop,Weller| Paul; REC: The Jam
1989,All Around The World,R & B/Soul,Stansfield| L.| Devaney| I.| & Morris| A.; REC: Lisa Stansfield
1955,All Around The World (aka Grits Ain't Groceries),R & B/Soul,Turner| Titus; REC: Little Willie John; Titus Turner; Little Milton; Champion Jack Dupree; James Booker; Lou Rawls
1959,All Blues,Jazz,Davis| Miles; REC: Miles Davis; Herbie Mann; Julie Driscoll; Mary Lou Williams; Chick Corea; Oscar Peterson; Larry Carlton; Tito Puente; George Benson; Chet Baker; Herbie Hancock
1976,All By Myself,Rock/Pop,Carmen| E.; REC: Eric Carmen; Shirley Bassey; Sheryl Crow; Tom Jones
1964,All Day And All Of The Night,Rock/Pop,Davies| Ray; REC: The Kinks; The Stranglers
1934,All I Do Is Dream Of You,Musical/Film,Brown| N. H.| & Freed| A.; REC: Johnnie Ray; ; Leon Redbone
1971,All I Have Is Love,Reggae,Isaacs| G.| & Dobson| D.; REC: Gregory Isaacs
1958,All I Have To Do Is Dream,Country/Bluegrass,Bryant| B. & Bryant| F.; REC: The Everly Brothers
1964,All I Really Want To Do,Folk/Roots,Dylan| Bob; REC: Bob Dylan; The Byrds; Bob Dylan
1993,All I Wanna Do,Rock/Pop,Crow| S.| Baerwald| D.| Bottrell| B.| Cooper| W.| & Gilbert| K.; REC: Sheryl Crow
1971,All I Want,Rock/Pop,Mitchell| Joni; REC: Joni Mitchell
1986,All My Ex's Live In Texas,Country/Bluegrass,Schafer| S. D.| & Schafer| L.; REC: George Strait
1949,All Night Long,Blues,Otis| Johnny; REC: Johnny Otis
1931,All Of Me,Jazz,Marks| G.| & Simons| S.; REC: Billie Holiday; Louis Armstrong; Willie Nelson; Frank Sinatra; Sarah Vaughan; Jimmy Dorsey; Lester Young; Chaka Khan
1940,All Or Nothing At All,Jazz,Lawrence| J.| & Altman| A.; REC: Frank Sinatra
1970,All Right Now,Rock/Pop,Rodgers| P.| & Fraser| A.; REC: Free
1957,All Shook Up,Rock/Pop,Blackwell| Otis; REC: Elvis Presley; Jeff Beck
1999,All That I Can Say,R & B/Soul,Hill| Lauryn; REC: Mary J. Blige
1991,All The Best,Folk/Roots,Prine| John; REC: John Prine
1979,All The Gold In California,Country/Bluegrass,Gatlin| Larry; REC: Larry Gatlin & The Gatlin Brothers Band
1975,All The Lovely Ladies,Folk/Roots,Lightfoot| Gordon; REC: Gordon Lightfoot
1939,All The Things You Are,Jazz,Kern| J.| & Hammerstein| II| O.; REC: Frank Sinatra; Tony Bennett; Chet Baker; Coleman Hawkins; Artie Shaw; Marian McPartland; Mario Lanza
1957,All The Way,Jazz,Van Heusen| J.| & Cahn| S.; REC: Frank Sinatra; Lee Morgan; Herbie Nichols
1972,All The Young Dudes,Rock/Pop,Bowie| David; REC: Mott The Hoople; David Bowie; Ringo Starr
1979,All Things Dull And Ugly,Musical/Film,Idle| Eric/Traditional; REC: Monty Python; Eric Idle
1967,All Tomorrow's Parties,Rock/Pop,Reed| Lou; REC: The Velvet Underground; Simple Minds
1967,All You Need Is Love,Rock/Pop,Lennon| J.| & McCartney| P.; REC: The Beatles
1957,All Your Love,Blues,Maghett| "Magic" Sam; REC Magic Sam
1957,All Your Love (I Miss Loving),Blues,Rush| Otis; REC: Otis Rush; Stevie Ray Vaughan; Albert King; Steve Miller Band; Rick Derringer; Al Jones; Melvin Taylor & The Slack Band
1972,Almost Independence Day,R & B/Soul,Morrison| Van; REC: Van Morrison
1966,Almost Persuaded,Country/Bluegrass,Sherrill| B.| & Sutton| G.; REC: David Houston; Webb Pierce
1951,Alone And Forsaken,Country/Bluegrass,Williams| Sr.| Hank; REC: Hank Williams| Sr.
1954,Along Came Betty,Jazz,Golson| Benny; REC: Benny Golson; Art Blakey; Phil Woods; Milt Jackson; Quincy Jones; Joe Lovano; James Gentry; Tito Puente
1995,Alright,Rock/Pop,Supergrass; REC: Supergrass
1955,Alright, Okay, You Win,Jazz,Wyche| S.| & Watts| M.; REC: Count Basie
1925,Always,Jazz,Berlin| Irving; REC: Benny Goodman
1995,Always Be My Baby,R & B/Soul,Carey| M.| Seal| Jr.| M.| & Dupri| J.; REC: Mariah Carey
1950,Always Late (With Your Kisses),Country/Bluegrass,Frizzell| L.| & Crawford| B.; REC: Lefty Frizzell
1979,Always Look On The Bright Side Of Life,Musical/Film,Idle| Eric; REC: Monty Python; Eric Idle; Bruce Cockburn; Art Garfunkel
1971,Always On My Mind,Country/Bluegrass,Christopher| J.| Thompson| W.| & James| M.; REC: Willie Nelson; Elvis Presley; Pet Shop Boys; Ruth Brown; Floyd Cramer
1993,Always Say Goodbye,Jazz,Haden| Charlie; REC: Charlie Haden's Quartet West
1964,Always Something There To Remind Me,Rock/Pop,Bacharach| B.| & David| H.; REC: Sandie Shaw; Naked Eyes; Dionne Warwick; Martha & The Vandellas
1929,Am I Blue?,Jazz,Akst| H.| & Clarke| G.; REC: Libby Holman; Billie Holiday; Mose Allison; Ray Charles; Woody Herman; Dinah Washington
1973,Amanda,Country/Bluegrass,McDill| Bob; REC: Don Williams; Waylon Jennings; The Statler Brothers
1972,Amarillo By Morning,Country/Bluegrass,Fraser| P.| & Stafford| T.; REC: George Strait; Moe Bandy; Asleep At The Wheel
1976,Amelia,Rock/Pop,Mitchell| Joni; REC: Joni Mitchell
1968,America,Folk/Roots,Simon| Paul; REC: Simon & Garfunkel; Yes
1986,America Without Tears,Rock/Pop,Costello| Elvis; REC: Elvis Costello
1976,American Girl,Rock/Pop,Petty| Tom; REC: Tom Petty & The Heartbreakers
1929,American In Paris, An,Jazz,Gershwin| George; REC: Andre Previn & The London Symphony Orchestra
1971,American Pie,Rock/Pop,McLean| Don; REC: Don McLean
1973,American Tune,Rock/Pop,Simon| Paul; REC: Paul Simon
1970,American Woman,Rock/Pop,Bachman| R.| & Cummings| B.; REC: The Guess Who; Lenny Kravitz; Ringo Starr; Butthole Surfers
1990,AmeriKKKa's Most Wanted,Hip-Hop,Ice Cube| Sadler| E.| & Shocklee| K.; REC: Ice Cube
1927,Among My Souvenirs,Musical/Film,Nicholls| H.| & Leslie| E.; REC: Paul Whiteman; Connie Francis
1967,Amsterdam,Musical/Film,Brel| J.| Blau| E.| & Shuman| E.; REC: Jacques Brel; David Bowie
1977,Anarchy In The UK,Rock/Pop,Rotten| J.| Vicious| S.| Cook| P.| & Jones| S.; REC: The Sex Pistols
1992,Anasthasia,Dance/Electronica,Abbeloos| Oliver; REC: T-99
1988,Anchorage,Folk/Roots,Shocked| Michelle| REC: Michelle Shocked
1906,Anchors Aweigh,Musical/Film,Zimmerman| C. A.| Miles| A. H.| & Lovell| R.; REC: U. S. Naval Academy Band
1975,And All That Jazz,Musical/Film,Kander| J.| & Ebb| F.; REC: Chita Rivera
1943,And Her Tears Flowed Like Wine,Swing,Kenton| S.| Lawrence| C.| & Greene| J.; REC: Stan Kenton; Ella Fitzgerald; Anita O'Day; Dinah Washington; Jon Carroll
